student_id,student_name,grade,school_name,reading_score,math_score,school_type
052359945,Matthew Cook,10th,Turner High School,78.0,73.4,Public
035441074,Christopher Oliver,9th,Silva High School,58.3,48.3,Public
080429342,Mark Brown,12th,Odonnell High School,33.4,88.3,Public
039281599,Lori Davis,10th,Richard High School,77.0,58.2,Charter
032618842,Virginia Harris,9th,Turner High School,94.0,89.8,Public
055591836,Scott Roberson,9th,Turner High School,91.0,65.2,Public
088651950,John Stewart,10th,Fisher High School,85.9,65.2,Public
052308792,Yolanda Lynch,11th,Richard High School,74.3,68.4,Charter
041599910,Tyler Stevens,9th,Turner High School,49.8,63.6,Public
104760741,Emily Chavez,12th,Turner High School,38.5,66.7,Public
046191258,Kimberly Smith,9th,Sullivan High School,72.9,72.5,Public
033613590,Joseph Villa,11th,Turner High School,90.4,55.5,Public
094225477,Paul Choi,12th,Fisher High School,76.6,60.2,Public
090436215,Christian Ramirez,12th,Fisher High School,78.2,37.6,Public
043971549,Michael Richards,12th,Turner High School,67.5,58.1,Public
010158913,Jennifer Johnson,9th,Green High School,88.7,98.4,Public
053688770,Alexandra Greene,12th,Chang High School,58.6,83.6,Public
112541321,Carla Tucker,11th,Turner High School,71.3,54.5,Public
034815915,Jasmine Mcclain,11th,Fisher High School,88.2,41.2,Public
016474617,Craig Miranda,10th,Silva High School,95.0,79.4,Public
126376391,Jackie Nicholson,9th,Montgomery High School,89.2,92.1,Public
093209494,Kimberly Huerta,11th,Fisher High School,82.2,44.7,Public
086983112,Valerie Washington,10th,Turner High School,67.6,66.5,Public
039818218,Julie Barber,12th,Montgomery High School,50.5,71.1,Public
091723778,Brian Baker,11th,Richard High School,85.8,66.4,Charter
045246256,Joseph Hayes,11th,Silva High School,83.6,63.9,Public
128360813,Wesley Brandt,12th,Sullivan High School,84.2,53.0,Public
017183295,Terry Lee,11th,Bowers High School,71.8,60.8,Public
076842234,Jesse Ayers,11th,Turner High School,90.7,44.6,Public
035662727,Beverly Lozano,9th,Richard High School,71.3,58.5,Charter
084715829,Derek Wiggins,11th,Turner High School,82.5,56.9,Public
073940676,David Kim,10th,Fisher High School,83.1,58.1,Public
072106453,Deborah Davis,11th,Fisher High School,,61.3,Public
080021672,Travis Green,10th,Fisher High School,,68.9,Public
041079126,Jonathan Simmons,11th,Turner High School,93.3,27.8,Public
060214852,Justin Morris,9th,Montgomery High School,81.6,54.8,Public
117290101,Grant Watson,12th,Richard High School,,71.9,Charter
068537023,Stephen Diaz,11th,Odonnell High School,62.6,21.1,Public
123789716,Ana Wood,9th,Turner High School,,86.6,Public
109061568,David Rosales,11th,Richard High School,78.0,72.6,Charter
036149252,David Powers,9th,Turner High School,90.8,67.1,Public
051261322,Michael Hill,10th,Richard High School,84.3,51.6,Charter
064881456,Nicholas Jordan,9th,Woods High School,96.7,43.3,Public
041669196,Stacy Maxwell,11th,Silva High School,95.6,57.3,Public
015130091,Lindsey Hansen,10th,Fisher High School,70.2,56.4,Public
105221195,Nicholas Romero,11th,Chang High School,82.5,75.5,Public
091986696,Tracy Mcintosh,9th,Montgomery High School,74.4,59.4,Public
010152647,Yesenia Ramirez,11th,Green High School,90.6,42.7,Public
068820565,Sandra Washington,11th,Turner High School,62.9,74.3,Public
109164096,Nathan Mendoza,9th,Montgomery High School,96.4,63.8,Public
115658509,Michael Martinez,10th,Campbell High School,91.0,62.8,Public
028988308,Thomas Morales,12th,Montgomery High School,66.3,37.7,Public
016364620,Tyler Livingston,9th,Green High School,,51.3,Public
018092754,Elizabeth Miller,12th,Fisher High School,81.8,45.4,Public
013780692,Steven Greer,11th,Fisher High School,84.9,43.2,Public
114104083,Karen Graves,12th,Fisher High School,,57.3,Public
113473786,Jonathon Davis,11th,Turner High School,70.1,51.6,Public
126554650,Rita Rivers,11th,Richard High School,80.7,45.8,Charter
074915765,Edward Sawyer,11th,Fisher High School,24.2,56.7,Public
040093064,Janet Perez,11th,Chang High School,79.2,91.5,Public
114950101,Alexander Taylor,11th,Bowers High School,69.3,65.0,Public
121443258,Michael Drake,9th,Fisher High School,84.8,54.1,Public
060607058,Heather Moreno,11th,Silva High School,,68.2,Public
117639571,Joseph Cruz,10th,Fisher High School,,63.9,Public
051248594,Tanner Garcia,12th,Turner High School,74.5,45.9,Public
042976574,Nancy Hess,11th,Richard High School,79.4,47.0,Charter
098589708,Kayla Paul,11th,Silva High School,,,Public
069154502,James Kim,11th,Chang High School,79.0,61.9,Public
040370208,Jodi Young,11th,Richard High School,72.8,50.4,Charter
069254884,Timothy Gonzales,11th,Turner High School,85.7,26.3,Public
057689526,David Pitts,9th,Montgomery High School,,36.8,Public
081473669,Anthony Sanchez,11th,Fisher High School,73.4,33.8,Public
086249380,Carla Morris,9th,Turner High School,50.5,68.3,Public
055151988,Ian Morgan,12th,Chang High School,73.6,69.8,Public
059522636,Christopher Nunez,11th,Chang High School,76.1,77.9,Public
022161516,Eric Jones,9th,Turner High School,70.7,71.4,Public
027458473,Amanda Bright,11th,Turner High School,82.7,47.8,Public
069286030,Nathan Mclaughlin,11th,Bowers High School,64.7,60.1,Public
020426169,Elizabeth Patterson,11th,Fisher High School,88.1,46.6,Public
047949593,Lisa Jones,11th,Chang High School,89.0,51.5,Public
123426451,Mark Gonzalez,12th,Silva High School,47.5,81.2,Public
024960689,Charlene Davis,11th,Silva High School,97.1,,Public
060219019,Elizabeth Parker,12th,Turner High School,,61.9,Public
041975550,Frank Bell,9th,Turner High School,88.6,76.4,Public
034484809,Tara Bautista,11th,Turner High School,,56.6,Public
119084535,Kelsey Moore,10th,Wagner High School,87.7,52.1,Public
038676749,Paul Schwartz,11th,Fisher High School,73.8,49.5,Public
092257926,Anthony Cruz,11th,Fisher High School,81.6,56.9,Public
079991645,Michael Camacho,12th,Odonnell High School,91.8,52.3,Public
106813832,Alexis Norton,11th,Turner High School,,57.3,Public
040702805,Amy Wyatt,12th,Fisher High School,81.0,69.0,Public
065570944,William Stevenson,12th,Montgomery High School,50.6,52.2,Public
017343776,Richard Harris,10th,Fisher High School,56.2,69.1,Public
062588463,Julia Tucker,9th,Chang High School,69.9,94.1,Public
031551010,Derrick Valdez,10th,Fisher High School,75.4,44.7,Public
082330633,Natalie Wright,9th,Turner High School,95.8,42.6,Public
040955429,Willie Adams,11th,Bowers High School,71.6,88.5,Public
062508317,Kristina Wright,10th,Fisher High School,62.6,75.7,Public
013453233,Tammie Montoya,11th,Wagner High School,,75.9,Public
123414340,Paul Morris,11th,Fisher High School,71.5,59.7,Public
013365994,Justin Patrick,12th,Green High School,69.2,42.0,Public
120374535,Lauren Brown,12th,Fisher High School,68.5,62.3,Public
124068805,Sarah Lopez,12th,Turner High School,58.3,81.1,Public
016148642,Samuel Stephenson,9th,Chang High School,88.7,58.7,Public
116827287,Kelsey Jones,12th,Montgomery High School,55.8,64.9,Public
040221438,Stephanie Velez,12th,Turner High School,71.4,60.3,Public
091259446,Amy Simpson,11th,Turner High School,88.5,57.2,Public
032424861,Robert Anderson,12th,Fisher High School,80.1,40.5,Public
087111967,William Johnson,9th,Turner High School,82.8,73.2,Public
014772968,Jonathan Lane,11th,Fisher High School,81.4,,Public
025152522,Michelle Hernandez,9th,Green High School,77.5,76.0,Public
052069594,Kent Russell,11th,Richard High School,87.8,63.5,Charter
067245222,Tina Roberts,12th,Bowers High School,87.5,81.5,Public
088936316,Tracey White,11th,Fisher High School,93.5,66.2,Public
062491071,Thomas Hart,12th,Green High School,52.3,68.9,Public
077658391,Matthew Fernandez,10th,Turner High School,71.5,73.9,Public
014787270,Zachary Rogers,11th,Campos High School,,82.0,Public
077654887,Jeff Lee II,12th,Chang High School,56.7,69.6,Public
095908243,Cynthia Franklin,9th,Turner High School,60.5,90.1,Public
060102854,Jean Sanchez,12th,Turner High School,70.5,56.7,Public
049219742,Daniel Cohen,10th,Richard High School,91.4,54.0,Charter
110630140,Steven Cook,9th,Montgomery High School,82.3,42.2,Public
101680086,Rebecca Cameron,12th,Fisher High School,81.0,59.1,Public
045391363,Mark Fuller,10th,Richard High School,53.5,39.3,Charter
097966979,Victoria Jacobs,10th,Campos High School,83.8,88.2,Public
099108395,Yesenia Mahoney,12th,Chang High School,69.1,80.0,Public
065168343,Jessica Sanchez,12th,Fisher High School,77.6,61.8,Public
060788689,Nicole Warner,9th,Chang High School,91.7,,Public
032903146,Crystal Graham,12th,Richard High School,96.3,78.7,Charter
061747182,David Thomas,9th,Turner High School,77.8,67.1,Public
052756195,Thomas Brown,12th,Green High School,74.7,,Public
049036255,Christopher Davis,11th,Fisher High School,47.8,49.2,Public
111115363,John Davidson,12th,Turner High School,62.2,71.2,Public
109565200,Haley Smith,12th,Montgomery High School,69.9,65.1,Public
018544079,Eileen Davidson,12th,Campbell High School,92.3,57.6,Public
114950871,Elizabeth Cole,12th,Fisher High School,70.1,39.4,Public
062403373,Ashley Davis,12th,Turner High School,41.2,45.1,Public
043377172,Deanna Bowers,9th,Fisher High School,70.5,64.5,Public
126889040,Charles Liu,12th,Turner High School,23.4,33.4,Public
047171853,Christine Boyle,9th,Chang High School,79.2,93.7,Public
027025738,Jacob Pierce,12th,Campbell High School,73.5,76.7,Public
060533070,Amanda Cooper,9th,Woods High School,68.9,43.2,Public
064718477,Kelly Lee,9th,Campos High School,81.2,60.4,Public
090441527,Natalie Perez,9th,Fisher High School,99.1,76.2,Public
105418131,Michael Chen,9th,Montgomery High School,92.6,62.2,Public
089632305,Lauren Morgan,12th,Green High School,49.7,29.1,Public
035259240,Bryan Mcintosh Jr.,12th,Chang High School,83.9,60.6,Public
031001942,Harold Malone,12th,Silva High School,64.0,72.3,Public
022380371,Jessica Diaz,9th,Turner High School,37.5,93.6,Public
054434525,Donna Willis,12th,Silva High School,,78.8,Public
082337458,James Maxwell,12th,Green High School,92.5,27.9,Public
129762889,Warren Cortez,12th,Richard High School,64.7,89.0,Charter
075027306,Elizabeth Montoya,9th,Chang High School,71.7,,Public
058027213,Kara Quinn,10th,Richard High School,90.6,46.3,Charter
065343320,Brett Adams,10th,Campbell High School,77.1,84.5,Public
058186950,Cheryl Walls,10th,Fisher High School,62.4,55.9,Public
019293167,Matthew Kirby,10th,Campos High School,89.6,59.6,Public
056887581,Janice Whitehead,9th,Turner High School,79.9,77.3,Public
107772231,Mark Mitchell,11th,Campos High School,73.8,76.0,Public
109418108,Deborah Griffith,11th,Turner High School,79.4,48.9,Public
086188250,Brandi Goodman,11th,Chang High School,86.1,83.0,Public
124141926,Megan Oneill,10th,Campbell High School,,78.2,Public
021883523,Steven Rodriguez,9th,Campbell High School,85.8,72.5,Public
061512650,Traci Andersen,10th,Turner High School,49.4,81.8,Public
072676242,Eric Martinez,12th,Fisher High School,99.5,56.0,Public
069459854,Cheyenne Tanner,10th,Campbell High School,,46.2,Public
079216265,Dennis Hernandez,10th,Dixon High School,43.0,78.5,Charter
035258542,Frank Watson,10th,Fisher High School,99.6,64.6,Public
017183295,Terry Lee,11th,Bowers High School,71.8,60.8,Public
127250212,Ernest Stanley,11th,Campos High School,61.1,67.8,Public
043458282,David Davis,11th,Richard High School,,62.5,Charter
098719002,Gregory Brown,12th,Richard High School,96.1,73.0,Charter
053268572,Diane Evans,12th,Fisher High School,73.3,,Public
106596641,Tracy Herrera,11th,Turner High School,91.1,91.4,Public
075028075,Anthony Keller,11th,Campos High School,,71.5,Public
071149602,Courtney Brown,10th,Fisher High School,74.7,,Public
064660994,Jerry Ross,11th,Fisher High School,71.1,60.0,Public
042641333,Julia Moreno,11th,Odonnell High School,64.8,89.8,Public
044769077,Scott Cobb,12th,Chang High School,62.5,64.9,Public
099082550,Linda Huber,12th,Dixon High School,94.1,61.5,Charter
062393616,Robert Garza,11th,Richard High School,84.8,,Charter
117087673,Jennifer Bullock,12th,Turner High School,69.0,52.6,Public
011348188,Tracey Hahn,12th,Campbell High School,67.9,93.8,Public
079489034,Adam Wood,10th,Campbell High School,81.0,37.8,Public
067562251,James Todd,10th,Campbell High School,87.1,48.6,Public
044232096,Andrea Shelton,9th,Richard High School,72.7,70.0,Charter
102516528,Anthony Mcfarland Jr.,10th,Fisher High School,,59.9,Public
017873107,Mark Chandler,10th,Campbell High School,97.4,59.2,Public
124614505,Joshua Ortiz,10th,Fisher High School,85.5,45.0,Public
100272220,Ashley Estrada,10th,Odonnell High School,59.5,92.6,Public
058220845,Angela Sloan,11th,Fisher High School,70.4,59.9,Public
091172730,Elizabeth Aguilar,11th,Green High School,75.1,81.2,Public
058377015,Christopher Stewart,11th,Chang High School,96.4,53.5,Public
066514572,Roger Yang,11th,Silva High School,85.9,,Public
112089582,Kimberly Hall,9th,Green High School,78.1,41.9,Public
057237910,Gary Brown,11th,Turner High School,63.7,78.2,Public
077834458,Jose Simpson,12th,Green High School,59.1,,Public
121657002,Zachary King,9th,Richard High School,57.0,41.7,Charter
114274696,Julie Mcdaniel,9th,Montgomery High School,90.9,81.1,Public
057092689,Deborah Taylor,9th,Montgomery High School,97.1,76.0,Public
089899148,Richard Weiss,10th,Turner High School,56.3,76.1,Public
021399059,Ronald Franklin,11th,Richard High School,74.1,58.5,Charter
021523346,Mike Smith,12th,Green High School,63.0,87.1,Public
083324499,Andrew Woodward,11th,Turner High School,89.7,78.6,Public
039869872,Timothy Arellano,12th,Montgomery High School,79.0,67.3,Public
016828975,Evan Carrillo,10th,Campbell High School,82.8,60.5,Public
053774532,Denise Hodges,10th,Montgomery High School,89.4,81.7,Public
085214727,Kathryn Romero,12th,Chang High School,73.1,82.2,Public
047132135,Teresa Walter,12th,Chang High School,62.8,71.5,Public
117645905,Daniel Cole,10th,Green High School,47.4,87.2,Public
017734356,Nicholas Russell,11th,Green High School,46.0,54.5,Public
090540583,Cheryl Thomas,11th,Fisher High School,98.3,53.8,Public
098553132,Brian Velez,11th,Odonnell High School,98.4,59.4,Public
012320396,Heather Frank,9th,Fisher High School,92.8,82.3,Public
120534414,Katherine Thomas,12th,Montgomery High School,78.3,63.7,Public
030493580,Heather Porter,10th,Fisher High School,,58.4,Public
088526645,Heather Harper,9th,Wagner High School,27.6,89.4,Public
028318046,Aaron Carter,12th,Chang High School,65.9,52.2,Public
076496677,Drew Horn,12th,Richard High School,,75.3,Charter
023811810,Alexandra Boyle,11th,Richard High School,98.5,41.4,Charter
089136898,Matthew Davis,10th,Green High School,45.8,45.8,Public
079085124,James Watson,11th,Turner High School,60.5,45.0,Public
120026207,Robert Hubbard,9th,Fisher High School,81.2,,Public
030045103,Jessica Torres,10th,Fisher High School,,62.7,Public
104189584,Matthew Richmond,9th,Turner High School,,97.1,Public
086496120,Edward Reed,10th,Sullivan High School,69.0,50.9,Public
087747522,Kelly Fisher,12th,Turner High School,82.5,63.7,Public
092801356,Timothy Salazar,10th,Campbell High School,59.0,58.6,Public
043113967,Louis Krause,11th,Turner High School,64.0,75.8,Public
075654533,Sandy Becker,12th,Silva High School,64.7,,Public
101568535,Michael Moody,12th,Chang High School,59.3,78.5,Public
015869472,Danielle Rodriguez,11th,Campbell High School,63.6,68.3,Public
118436511,Jeffrey Harmon,12th,Montgomery High School,63.0,93.0,Public
097170972,Andrea Green,11th,Chang High School,,69.1,Public
085186994,Caleb Smith,12th,Campbell High School,30.8,78.2,Public
023726497,William Livingston,9th,Turner High School,65.1,77.7,Public
065691519,Joseph Rodriguez,12th,Wagner High School,74.7,54.9,Public
038906901,Mitchell Reed,12th,Turner High School,66.0,67.0,Public
039309170,Jessica Barry,12th,Fisher High School,74.0,72.9,Public
049641394,Chelsea Serrano,9th,Turner High School,56.9,70.0,Public
077468329,Linda Novak,12th,Turner High School,72.4,32.9,Public
032399514,Kyle Lawrence,10th,Sullivan High School,69.2,41.0,Public
062204200,Douglas Brown,10th,Woods High School,38.5,67.8,Public
012057494,Mark Short,11th,Richard High School,62.6,56.9,Charter
025251452,Carla Davis,9th,Turner High School,82.9,71.7,Public
032429581,Valerie Mitchell,12th,Chang High School,,98.7,Public
118434500,David Page,10th,Montgomery High School,89.7,75.7,Public
011082114,Kristen Gutierrez,12th,Montgomery High School,59.9,,Public
108301083,Eileen Ramirez,11th,Dixon High School,87.1,71.3,Charter
067260155,Richard Holmes,11th,Campos High School,65.7,70.1,Public
109587275,Kelly Hall,9th,Fisher High School,81.3,77.2,Public
090424670,Gabriel Mason,12th,Fisher High School,93.8,53.6,Public
089666041,Scott Flores,10th,Richard High School,90.3,50.0,Charter
104682641,Sarah Cantrell,10th,Odonnell High School,,83.4,Public
031782106,Mary Dalton,11th,Silva High School,68.0,94.1,Public
054582192,Terri Edwards,12th,Chang High School,71.6,58.7,Public
116116985,Ashley Rose,9th,Chang High School,74.2,74.9,Public
017070489,Frank Aguirre,11th,Chang High School,85.4,80.5,Public
064959249,Samuel Hall,12th,Turner High School,64.9,55.6,Public
038533235,Rachel Lopez,10th,Richard High School,60.4,48.9,Charter
109886879,Jill Lewis,12th,Fisher High School,,67.6,Public
075348823,Jason Boone,11th,Turner High School,63.0,76.5,Public
037218946,Nancy Nguyen,12th,Richard High School,,54.8,Charter
051991977,Mark Black,9th,Campos High School,73.5,34.5,Public
121451570,Christine Russell,9th,Fisher High School,87.3,41.5,Public
036461037,Tamara Mendez,10th,Campbell High School,97.4,92.4,Public
081530175,Dominique Gilbert,10th,Bowers High School,39.2,71.7,Public
033267328,Jonathan Ross,10th,Montgomery High School,80.7,83.9,Public
047674703,Angela Brown,9th,Montgomery High School,88.9,92.8,Public
099345792,Rachel Brown,11th,Woods High School,90.9,64.4,Public
033505417,Tina Austin,10th,Campbell High School,98.5,88.8,Public
097278670,Julie Wilson,10th,Fisher High School,81.6,67.6,Public
117513930,Jason Henderson,11th,Fisher High School,69.6,37.1,Public
103301143,Diana Becker,11th,Bowers High School,88.3,25.8,Public
084057066,Renee Cook,9th,Fisher High School,92.8,61.7,Public
033781901,Ashley Sims,12th,Campbell High School,61.4,91.7,Public
099264297,Michael Beasley,10th,Montgomery High School,91.2,65.1,Public
082335418,Michael Brown,10th,Wagner High School,64.4,85.4,Public
037829380,Ricky Cox,9th,Montgomery High School,81.0,47.8,Public
024531319,Alexis Hammond,11th,Chang High School,70.6,95.6,Public
074175288,Destiny Hernandez,9th,Chang High School,70.8,72.5,Public
042996224,Barbara Sims,9th,Fisher High School,89.3,80.7,Public
031364582,Melissa Santana,12th,Chang High School,57.4,87.9,Public
105265999,Gina Morales,12th,Montgomery High School,83.3,47.0,Public
061254183,Shannon Brooks,11th,Fisher High School,82.4,,Public
057489836,Mary Rodgers,10th,Fisher High School,61.9,46.7,Public
074921940,Omar Olson,12th,Turner High School,68.0,53.4,Public
128117422,Kathleen Harding,12th,Fisher High School,68.5,57.1,Public
048369208,Shannon Steele,10th,Fisher High School,84.1,42.0,Public
126306989,Riley Johnson,10th,Richard High School,,48.3,Charter
078758423,Jamie Greene,12th,Turner High School,64.3,42.6,Public
011444529,Megan Williams,10th,Montgomery High School,84.7,58.2,Public
022407047,Barbara Gonzalez,10th,Odonnell High School,,71.4,Public
015190811,Nicole Johnson,10th,Richard High School,85.8,78.0,Charter
010586158,Anita Jones,10th,Campos High School,55.7,93.3,Public
071267173,Johnny Chapman,11th,Chang High School,91.0,80.6,Public
093218003,Christopher Burns,12th,Fisher High School,75.1,23.2,Public
038648382,Elizabeth Green,10th,Turner High School,72.1,48.4,Public
069724864,Johnny Ward,11th,Bowers High School,84.1,54.1,Public
023087259,William Weber,9th,Turner High School,,78.5,Public
119948875,Helen Conley,11th,Richard High School,55.4,49.7,Charter
093996901,Cynthia Tanner,10th,Campbell High School,77.9,52.0,Public
040793393,Andrew Rodriguez,11th,Richard High School,80.4,47.8,Charter
105830492,Amber Miller,12th,Dixon High School,84.7,66.8,Charter
021152937,Cassandra Johnson,10th,Campos High School,54.7,63.8,Public
116923246,Nathan Hubbard,12th,Silva High School,,58.1,Public
048341653,Monica Stewart,11th,Silva High School,99.9,57.8,Public
050488216,Kurt Stevens,10th,Fisher High School,73.6,40.2,Public
033521006,Sharon Wilson,11th,Silva High School,89.6,42.9,Public
111843088,Stephen Perkins,9th,Campbell High School,74.5,92.1,Public
065158625,Amanda Olson,9th,Bowers High School,47.6,55.5,Public
012297092,Christine Garcia,12th,Turner High School,40.7,61.3,Public
017585615,Kimberly Ramirez,12th,Campbell High School,,66.8,Public
020812100,Brian Spears,9th,Chang High School,80.0,82.3,Public
054522628,Jennifer Mata,12th,Fisher High School,82.7,75.5,Public
111924091,Jennifer Miranda,9th,Montgomery High School,76.1,52.0,Public
037860093,Amy Schwartz,12th,Campbell High School,66.6,83.5,Public
029247912,Julie Copeland,9th,Campos High School,82.1,61.9,Public
039019059,Lori Holland,12th,Turner High School,50.0,39.8,Public
072307935,Mary Owen,11th,Turner High School,82.3,30.7,Public
030895793,Ruth Morgan,11th,Dixon High School,,68.6,Charter
060766685,Thomas Baker,12th,Richard High School,47.4,75.6,Charter
117737114,Jamie Smith,11th,Turner High School,70.6,70.7,Public
098466876,Troy Clark,12th,Campbell High School,65.4,81.3,Public
047231191,Mark Bailey,9th,Montgomery High School,97.6,71.6,Public
109426323,Patrick Tapia,12th,Campos High School,54.5,56.1,Public
073790350,Michael Moody,10th,Campbell High School,59.0,48.6,Public
040360098,Brandi Simon,10th,Richard High School,78.7,43.1,Charter
085799585,Ryan Austin,11th,Fisher High School,29.3,46.4,Public
096470259,Darrell Hall,10th,Richard High School,60.0,61.9,Charter
073611646,Molly Hanson,12th,Bowers High School,53.1,29.9,Public
014067547,Tammy Hatfield,9th,Silva High School,89.9,47.7,Public
037840929,Thomas Dennis,9th,Odonnell High School,81.9,64.2,Public
118222725,Jose Palmer,10th,Campbell High School,91.1,61.9,Public
112841555,Brandy Cook,11th,Fisher High School,83.8,50.2,Public
015073352,Paul Moore,12th,Fisher High School,69.3,78.3,Public
093931872,Rachel Thomas,10th,Silva High School,74.8,83.1,Public
101040309,Kathleen Powell,12th,Fisher High School,80.0,48.5,Public
013680349,Rhonda Cortez,10th,Campbell High School,98.6,94.0,Public
050361553,Victoria Hernandez,10th,Campos High School,,70.2,Public
082706872,Gary Harrison,12th,Richard High School,70.9,75.5,Charter
